Year,Heat Disease,Cancer,Stroke,Accidents,Influenza and Pneumonia
1900,265.4,114.8,244.2,90.3,297.5
1901,272.6,118.1,243.6,109.3,312.9
1902,285.2,119.7,237.8,93.6,219.3
1903,304.5,125.2,244.6,106.9,251.1
1904,331.5,127.9,255.2,112.8,291.2
1905,327.8,132.5,247.3,108.5,257.8
1906,325.5,128.8,245.9,121.2,222.5
1907,356.5,133,261.8,122.3,285.4
1908,328.6,134.5,239,108.8,234.6
1909,329.2,138.1,237.5,108,221.2
1910,345.1,143.1,238.5,111.2,238.4
1911,341.8,140.4,230.2,113.5,234.1
1912,346,144.7,228.7,107.1,213.7
1913,337.9,147.8,226.9,108.2,214.8
1914,346.4,146.6,231.3,100.4,202.4
1915,361.5,149.5,234.5,95.2,238.1
1916,373.3,152.2,235.7,104.3,278.5
1917,377.9,150.7,238.2,107,267
1918,366.2,148.4,228,99.9,612.4
1919,335.7,152.1,225.6,86.9,270.9
1920,375,159,238.5,87.5,279.2
1921,366.2,163.5,230.1,83.2,153.1
1922,392.1,165.6,238.9,85.4,207.6
1923,410.3,168.8,245.6,91.2,253
1924,410.5,170.6,246.4,89.6,182
1925,433.8,174.3,227.9,92.2,198.1
1926,465.7,177.3,228.2,89.8,233
1927,448.8,177.8,216.3,86.3,164
1928,478.9,177.8,223.4,86.1,236.4
1929,476.2,175.3,213.3,84.3,247.5
1930,467.9,174.5,203.9,84.2,159.8
1931,459.6,175.8,195,81.2,170.2
1932,482.8,179.2,194.4,76.6,180
1933,483.8,178.2,185,76.2,156.5
1934,502.9,181.6,184.5,82.7,152.9
1935,506.8,183.4,181.2,80.8,163.8
1936,546.2,186.8,189.8,92.4,186.7
1937,538.8,184.6,176.6,81.8,181.8
1938,528.9,185.7,171.4,76.5,124.3
1939,534.5,187.1,173.2,74.7,124.4
1940,558.5,187.8,177.2,76,117.6
1941,537.9,184.1,169.4,72.7,104.6
1942,531.7,183.8,166.8,75.6,84.7
1943,567.5,183.9,173.3,82.1,101.7
1944,541.1,183.8,164.4,77,94.7
1945,533.2,186.9,166.7,74.9,74.9
1946,527.7,187.1,158.8,69.4,69.9
1947,552.5,190.7,161.3,69.9,65.9
1948,549,193.4,157.4,68.6,58
1949,581,193.9,176.2,57.6,45.1
1950,588.8,193.9,180.7,78.4,48.1
1951,577.9,192,181.4,79.7,47.4
1952,568.8,194.2,180.2,78,43.1
1953,570.1,194.6,179.2,75.4,49.2
1954,544.6,194.3,173.4,69.9,36.2
1955,556.7,194.5,177.3,70.9,39.2
1956,560.6,195.6,177.4,70.2,40.8
1957,568.5,195.4,183,69.1,50.3
1958,563.6,192,183,63.6,47.4
1959,552.1,191.6,179,63.2,44.3
1960,559,193.9,177.9,63.1,53.7
1961,545.3,193.4,173.1,60.6,43.4
1962,556.9,193.3,174,62.9,47.1
1963,563.4,194.7,173.9,64,55.6
1964,543.3,193.6,167,64.1,45.4
1965,542.5,195.6,166.4,65.8,46.8
1966,541.2,196.5,165.8,67.6,47.9
1967,524.7,197.3,159.3,66.2,42.2
1968,531,198.8,162.5,65.5,52.8
1969,516.8,198.5,155.4,64.9,47.9
1970,492.7,198.6,147.7,62.2,41.7
1971,492.9,199.3,147.6,60.3,38.4
1972,490.2,200.3,147.3,60.2,41.3
1973,482,200,145.2,59.3,41.2
1974,458.8,201.5,136.8,52.7,35.5
1975,431.2,200.1,123.5,50.8,34.9
1976,426.9,202.5,117.4,48.7,38.8
1977,413.7,203.5,110.4,48.8,31
1978,409.9,204.9,103.7,48.9,34.5
1979,401.6,204,97.3,46.5,26.1
1980,412.1,207.9,96.4,46.4,31.4
1981,397,206.4,89.7,43.4,30
1982,389,208.3,84.4,40.1,26.5
1983,388.9,209.1,81.4,39.1,29.8
1984,378.8,210.8,78.9,38.8,30.6
1985,375,211.3,76.6,38.5,34.5
1986,365.1,211.5,73.3,38.6,34.8
1987,355.9,211.7,71.8,38.2,33.8
1988,352.5,212.5,70.8,38.9,37.3
1989,332,214.2,67.1,37.7,35.9
1990,321.8,216,65.5,36.2,36.8
1991,313.8,215.2,63.1,34.7,34.9
1992,306.1,213.5,61.6,33.2,33.1
1993,309.9,213.5,62.9,34.2,35.2
1994,299.7,211.7,62.8,34.2,33.9
1995,296.3,209.8,63.3,34.4,33.8
1996,288.3,206.7,62.6,34.5,33.2
1997,280.4,203.5,61.2,34.2,33.6
1998,272.4,200.7,59.4,34.5,34.6
1999,266.5,200.8,61.6,35.3,23.5
2000,257.6,199.6,60.9,34.9,23.7
2001,249.5,196.5,58.4,35.7,22.2
2002,244.6,194.3,57.2,37.1,23.2
2003,236.3,190.9,54.6,37.6,22.6
2004,221.6,186.8,51.2,38.1,20.4
2005,216.8,185.1,48,39.5,21
2006,205.5,181.8,44.8,40.2,18.4
2007,196.1,179.3,43.5,40.4,16.8
2008,192.1,176.4,42.1,39.2,17.6
2009,182.8,173.5,39.6,37.5,16.5
2010,179.1,172.8,39.1,38,15.1
2011,173.7,169,37.9,39.1,15.7
2012,170.5,166.5,36.9,39.1,14.5
2013,169.8,163.2,36.2,39.4,15.9
